image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv2,Vegetables0024_1_S,1,3,2000,5,1,15,129,19,cf,1,cin,210303.0686,1,2,0.485351104999609,NaN,NaN
conv1,MetalFloorsBare0024_1_S,1,1,2000,2,1,53,129,112,cf,1,cin,210303.0686,2,1,0.524582694999481,NaN,NaN
conv3,Scrapyard0033_1_S,1,2,2000,2,69,1,52,129,cf,1,cin,210303.0686,3,2,0.477205514999696,NaN,NaN
conv1,Carpet0047_1_S,1,3,2000,10,1,76,129,49,cf,1,cin,210303.0686,4,3,0.365408889999344,NaN,NaN
conv4,Gravel0097_1_S,0,2,2000,4,1,47,129,92,cf,1,cin,210303.0686,5,2,0.430207104999681,NaN,NaN
conv3,PaperCrumpled0004_1_S,0,2,2000,8,1,44,129,43,cf,1,cin,210303.0686,6,2,0.3806814999989,NaN,NaN
conv2,Carpet0047_1_S,0,2,2000,7,111,1,42,129,cf,1,cin,210303.0686,7,2,0.464695724999729,NaN,NaN
conv3,Crackles0004_1_S,0,3,2000,4,115,1,103,129,cf,1,cin,210303.0686,8,3,0.311842514999626,NaN,NaN
conv3,Vegetables0024_1_S,0,3,2000,8,1,64,129,101,cf,1,cin,210303.0686,9,2,0.313684734998787,NaN,NaN
conv4,GrassDead0131_1_S,0,2,2000,6,1,101,129,72,cf,1,cin,210303.0686,10,2,0.322526824999841,NaN,NaN
conv2,FlowerBeds0044_1_S,0,3,2000,7,1,31,129,64,cf,1,cin,210303.0686,11,1,0.350073894998786,NaN,NaN
conv2,BrickRound0043_1_S,0,3,2000,4,96,1,103,129,cf,1,cin,210303.0686,12,3,0.387195774999782,NaN,NaN
conv3,GrassDead0131_1_S,1,3,2000,3,2,1,3,129,cf,1,cin,210303.0686,13,3,0.329349809999258,NaN,NaN
conv2,FoodVarious0001_1_S,1,3,2000,1,111,1,113,129,cf,1,cin,210303.0686,14,3,0.300740689999657,NaN,NaN
PS,Scrapyard0033_1_S,1,1,2000,7,1,100,129,98,cf,1,cin,210303.0686,15,1,0.272423319998779,NaN,NaN
conv3,MetalFloorsBare0024_1_S,0,1,2000,4,1,126,129,102,cf,1,cin,210303.0686,16,1,0.38528763999966,NaN,NaN
conv2,Gravel0097_1_S,1,3,2000,7,103,1,80,129,cf,1,cin,210303.0686,17,3,0.47225995000008,NaN,NaN
PS,PaperCrumpled0004_1_S,1,1,2000,9,70,1,109,129,cf,1,cin,210303.0686,18,2,0.52363968499958,NaN,NaN
conv5,BrickRound0043_1_S,0,1,2000,6,1,43,129,114,cf,1,cin,210303.0686,19,2,0.265585154999826,NaN,NaN
PS,GrassDead0131_1_S,0,1,2000,6,1,15,129,17,cf,1,cin,210303.0686,20,1,0.48771734499951,NaN,NaN
conv5,FoodVarious0001_1_S,1,2,2000,8,1,63,129,78,cf,1,cin,210303.0686,21,2,0.422501824999017,NaN,NaN
conv5,MetalFloorsBare0024_1_S,0,3,2000,5,1,44,129,67,cf,1,cin,210303.0686,22,3,0.317336804999286,NaN,NaN
conv3,BrickRound0043_1_S,0,2,2000,8,39,1,41,129,cf,1,cin,210303.0686,23,1,0.340998584999397,NaN,NaN
PS,Scrapyard0033_1_S,0,1,2000,6,1,56,129,66,cf,1,cin,210303.0686,24,3,0.345709229999557,NaN,NaN
conv4,MetalFloorsBare0024_1_S,1,3,2000,2,1,104,129,31,cf,1,cin,210303.0686,25,3,0.272653639999589,NaN,NaN
PS,RooftilesCeramic0037_1_S,1,2,2000,10,118,1,58,129,cf,1,cin,210303.0686,26,2,0.401117209999938,NaN,NaN
conv2,Carpet0047_1_S,1,2,2000,3,1,76,129,55,cf,1,cin,210303.0686,27,2,0.410624224999992,NaN,NaN
PS,BrickRound0043_1_S,0,1,2000,2,1,125,129,124,cf,1,cin,210303.0686,28,1,0.419646574999206,NaN,NaN
conv4,MetalFloorsBare0024_1_S,0,1,2000,9,1,5,129,69,cf,1,cin,210303.0686,29,1,0.379099834999579,NaN,NaN
conv1,Gravel0097_1_S,0,3,2000,6,1,41,129,14,cf,1,cin,210303.0686,30,3,0.727141574999223,NaN,NaN
conv3,FlowerBeds0044_1_S,0,2,2000,6,93,1,75,129,cf,1,cin,210303.0686,31,2,0.780959144999542,NaN,NaN
conv5,RooftilesCeramic0037_1_S,1,1,2000,10,1,35,129,121,cf,1,cin,210303.0686,32,1,0.796768164999776,NaN,NaN
conv4,PaperCrumpled0004_1_S,1,3,2000,4,102,1,73,129,cf,1,cin,210303.0686,33,2,0.702493454999967,NaN,NaN
conv1,FlowerBeds0044_1_S,0,1,2000,4,1,57,129,13,cf,1,cin,210303.0686,34,1,0.793639044999509,NaN,NaN
conv3,Vegetables0024_1_S,0,3,2000,2,1,13,129,126,cf,1,cin,210303.0686,35,3,0.489964069999587,NaN,NaN
