image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
powerspec,Crackles0004_1_S,0,2,2000,3,42,1,41,129,S3,1,cin,210010.3406,1,2,2.05199382000001,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,1,2000,5,1,89,129,121,S3,1,cin,210010.3406,2,2,2.4813104599998,NaN,NaN
PS,Gravel0097_1_S,1,3,2000,7,1,83,129,36,S3,1,cin,210010.3406,3,2,2.25170841999989,NaN,NaN
PS,FoodVarious0001_1_S,0,2,2000,10,120,1,122,129,S3,1,cin,210010.3406,4,2,1.45237073499993,NaN,NaN
powerspec,BrickRound0043_1_S,0,2,2000,2,97,1,30,129,S3,1,cin,210010.3406,5,1,1.88888455000006,NaN,NaN
powerspec,Scrapyard0033_1_S,1,1,2000,6,1,38,129,124,S3,1,cin,210010.3406,6,2,2.58679523499995,NaN,NaN
PS,Carpet0047_1_S,0,3,2000,5,52,1,93,129,S3,1,cin,210010.3406,7,2,2.49009967499978,NaN,NaN
powerspec,Vegetables0024_1_S,1,2,2000,7,55,1,18,129,S3,1,cin,210010.3406,8,2,2.34361323999974,NaN,NaN
PS,PaperCrumpled0004_1_S,1,2,2000,9,1,110,129,27,S3,1,cin,210010.3406,9,1,2.43986226999959,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,1,3,2000,4,1,59,129,2,S3,1,cin,210010.3406,10,2,2.47800234999977,NaN,NaN
conv5,Scrapyard0033_1_S,0,3,2000,2,1,79,129,54,S3,1,cin,210010.3406,11,1,2.71836003499993,NaN,NaN
PS,RooftilesCeramic0037_1_S,0,2,2000,3,68,1,52,129,S3,1,cin,210010.3406,12,2,2.39935654499959,NaN,NaN
conv5,Carpet0047_1_S,1,3,2000,10,80,1,46,129,S3,1,cin,210010.3406,13,2,2.44118254499972,NaN,NaN
conv5,FlowerBeds0044_1_S,0,1,2000,2,101,1,37,129,S3,1,cin,210010.3406,14,2,2.7620331449998,NaN,NaN
