image_model,im_code,oddball,target_loc,ms_stim,synth_num,crop_x,crop_y,crop_x_2,crop_y_2,subj,session,test_location,rand_seed,trial,response,rt,eye_valid,prop_eye_valid
conv5,FlowerBeds0044_1_S,1,1,200,10,1,17,129,68,tw,3,cin,214741.364,1,1,0.991362474999733,NaN,NaN
PS,Crackles0004_1_S,1,1,200,7,1,16,129,84,tw,3,cin,214741.364,2,3,0.897238484999434,NaN,NaN
powerspec,Carpet0047_1_S,0,3,200,4,1,97,129,77,tw,3,cin,214741.364,3,2,0.842294964999383,NaN,NaN
PS,Scrapyard0033_1_S,0,3,200,7,1,122,129,15,tw,3,cin,214741.364,4,3,1.00558082999942,NaN,NaN
powerspec,Crackles0004_1_S,0,2,200,1,103,1,93,129,tw,3,cin,214741.364,5,3,0.984857299999931,NaN,NaN
PS,FlowerBeds0044_1_S,1,3,200,4,1,118,129,15,tw,3,cin,214741.364,6,2,0.990364709999085,NaN,NaN
conv5,GrassDead0131_1_S,0,1,200,2,103,1,97,129,tw,3,cin,214741.364,7,2,0.960094859999117,NaN,NaN
powerspec,MetalFloorsBare0024_1_S,0,3,200,9,95,1,4,129,tw,3,cin,214741.364,8,3,1.08886617499957,NaN,NaN
powerspec,Scrapyard0033_1_S,1,3,200,3,56,1,87,129,tw,3,cin,214741.364,9,2,1.01951103999909,NaN,NaN
conv5,Vegetables0024_1_S,1,1,200,8,1,14,129,39,tw,3,cin,214741.364,10,2,0.972908679999819,NaN,NaN
PS,GrassDead0131_1_S,1,1,200,9,1,46,129,76,tw,3,cin,214741.364,11,1,0.903537224999127,NaN,NaN
powerspec,FlowerBeds0044_1_S,1,2,200,8,97,1,34,129,tw,3,cin,214741.364,12,2,0.866070230000332,NaN,NaN
conv5,BrickRound0043_1_S,1,1,200,5,1,1,129,58,tw,3,cin,214741.364,13,3,0.858156954999686,NaN,NaN
PS,Carpet0047_1_S,0,2,200,10,39,1,124,129,tw,3,cin,214741.364,14,1,0.773135459999139,NaN,NaN
