conv5, powerspec, ps_synths, original
0.15658238, 0.16469373, 0.14877309, 0.16589727
0.10070737, 0.14905134, 0.13329428, 0.22262763
0.06395832, 0.06861249, 0.06856617, 0.06349782
0.11055812, 0.11045648, 0.10797150, 0.12539516
0.34934821, 0.45716515, 0.43188070, 0.47426620
0.04676563, 0.04949554, 0.04681221, 0.04912330
0.06452170, 0.06957582, 0.06394929, 0.06965371
0.10003808, 0.55975445, 0.14214370, 0.81191451
0.11844604, 0.13672227, 0.12872032, 0.11666990
0.33364064, 0.81232679, 0.78320287, 0.83798331
0.08882004, 0.09687744, 0.09126800, 0.11030578
0.11455452, 0.13003067, 0.11759113, 0.10755815
