conv5, powerspec, ps_synths, original
0.53197429, 0.53845374, 0.51793115, 0.60202853
0.33811333, 0.35157744, 0.34653650, 0.35742489
0.37060458, 0.34248998, 0.35187726, 0.35359301
0.38830255, 0.39248088, 0.38123318, 0.36087193
0.83060395, 0.82567158, 0.81519293, 0.92492818
0.20413020, 0.19433956, 0.19083144, 0.21774041
0.27279869, 0.26337104, 0.26461312, 0.25250134
0.39399090, 0.61776839, 0.38104476, 0.87099656
0.45990552, 0.46899116, 0.45803860, 0.43299246
0.73006275, 0.91248065, 0.86663736, 0.86560135
0.35567768, 0.35750435, 0.34950857, 0.31086023
0.44341066, 0.43055938, 0.43008053, 0.38903194
