"subj","image_model","oddball","target_loc","ms_stim","synth_num","crop_x","crop_y","crop_x_2","crop_y_2","session","test_location","rand_seed","trial","response","rt","eye_valid","prop_eye_valid","correct","image_code","image_name","presentation_cond","subj_display","sex","age","first.pres_time"
"CF","conv2",1,3,2000,5,1,15,129,19,1,"cin",210303.0686,1,"2",0.485351104999609,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","CF","f",23,NA
"CF","conv1",1,1,2000,2,1,53,129,112,1,"cin",210303.0686,2,"1",0.524582694999481,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF","f",23,NA
"CF","conv3",1,2,2000,2,69,1,52,129,1,"cin",210303.0686,3,"2",0.477205514999696,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF","f",23,NA
"CF","conv1",1,3,2000,10,1,76,129,49,1,"cin",210303.0686,4,"3",0.365408889999344,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF","f",23,NA
"CF","conv4",0,2,2000,4,1,47,129,92,1,"cin",210303.0686,5,"2",0.430207104999681,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF","f",23,NA
"CF","conv3",0,2,2000,8,1,44,129,43,1,"cin",210303.0686,6,"2",0.3806814999989,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","CF","f",23,NA
"CF","conv2",0,2,2000,7,111,1,42,129,1,"cin",210303.0686,7,"2",0.464695724999729,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","CF","f",23,NA
"CF","conv3",0,3,2000,4,115,1,103,129,1,"cin",210303.0686,8,"3",0.311842514999626,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","CF","f",23,NA
"CF","conv3",0,3,2000,8,1,64,129,101,1,"cin",210303.0686,9,"2",0.313684734998787,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","CF","f",23,NA
"CF","conv4",0,2,2000,6,1,101,129,72,1,"cin",210303.0686,10,"2",0.322526824999841,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF","f",23,NA
"CF","conv2",0,3,2000,7,1,31,129,64,1,"cin",210303.0686,11,"1",0.350073894998786,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF","f",23,NA
"CF","conv2",0,3,2000,4,96,1,103,129,1,"cin",210303.0686,12,"3",0.387195774999782,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF","f",23,NA
"CF","conv3",1,3,2000,3,2,1,3,129,1,"cin",210303.0686,13,"3",0.329349809999258,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF","f",23,NA
"CF","conv2",1,3,2000,1,111,1,113,129,1,"cin",210303.0686,14,"3",0.300740689999657,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF","f",23,NA
"CF","PS",1,1,2000,7,1,100,129,98,1,"cin",210303.0686,15,"1",0.272423319998779,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF","f",23,NA
"CF","conv3",0,1,2000,4,1,126,129,102,1,"cin",210303.0686,16,"1",0.38528763999966,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF","f",23,NA
"CF","conv2",1,3,2000,7,103,1,80,129,1,"cin",210303.0686,17,"3",0.47225995000008,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF","f",23,NA
"CF","PS",1,1,2000,9,70,1,109,129,1,"cin",210303.0686,18,"2",0.52363968499958,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF","f",23,NA
"CF","conv5",0,1,2000,6,1,43,129,114,1,"cin",210303.0686,19,"2",0.265585154999826,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","CF","f",23,NA
"CF","PS",0,1,2000,6,1,15,129,17,1,"cin",210303.0686,20,"1",0.48771734499951,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF","f",23,NA
"CF","conv5",1,2,2000,8,1,63,129,78,1,"cin",210303.0686,21,"2",0.422501824999017,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF","f",23,NA
"CF","conv5",0,3,2000,5,1,44,129,67,1,"cin",210303.0686,22,"3",0.317336804999286,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF","f",23,NA
"CF","conv3",0,2,2000,8,39,1,41,129,1,"cin",210303.0686,23,"1",0.340998584999397,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","CF","f",23,NA
"CF","PS",0,1,2000,6,1,56,129,66,1,"cin",210303.0686,24,"3",0.345709229999557,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF","f",23,NA
"CF","conv4",1,3,2000,2,1,104,129,31,1,"cin",210303.0686,25,"3",0.272653639999589,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF","f",23,NA
