"image_model","oddball","target_loc","ms_stim","synth_num","crop_x","crop_y","crop_x_2","crop_y_2","subj","session","test_location","rand_seed","trial","response","rt","eye_valid","prop_eye_valid","correct","image_code","image_name","presentation_cond","subj_display"
"powerspec","synth",3,2000,7,105,1,68,129,"CF",1,"cin",214996.3334,1,"3",2.44241366499955,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","CF"
"conv5","synth",3,2000,5,42,1,10,129,"CF",1,"cin",214996.3334,2,"1",2.35506548999911,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","synth",1,2000,2,66,1,8,129,"CF",1,"cin",214996.3334,3,"1",2.53525747499771,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"powerspec","synth",2,2000,2,125,1,111,129,"CF",1,"cin",214996.3334,4,"1",2.50847229999999,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","original",1,2000,6,1,98,129,22,"CF",1,"cin",214996.3334,5,"2",2.38647136999862,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"conv5","synth",3,2000,3,1,9,129,60,"CF",1,"cin",214996.3334,6,"3",2.56505210499927,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","original",2,2000,8,1,95,129,66,"CF",1,"cin",214996.3334,7,"2",2.63821468499918,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","original",2,2000,5,1,125,129,109,"CF",1,"cin",214996.3334,8,"2",2.57467779499893,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","synth",1,2000,10,1,99,129,27,"CF",1,"cin",214996.3334,9,"1",2.43020216499826,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"powerspec","original",2,2000,1,16,1,37,129,"CF",1,"cin",214996.3334,10,"1",2.55030631000045,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",1,2000,2,84,1,27,129,"CF",1,"cin",214996.3334,11,"1",2.47627138999997,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"PS","original",3,2000,7,85,1,20,129,"CF",1,"cin",214996.3334,12,"3",2.88170180999987,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","CF"
"conv5","synth",2,2000,9,1,86,129,56,"CF",1,"cin",214996.3334,13,"2",2.67450717999782,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",2,2000,2,27,1,55,129,"CF",1,"cin",214996.3334,14,"2",2.44622897999761,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","synth",2,2000,6,1,101,129,33,"CF",1,"cin",214996.3334,15,"1",2.47337755499939,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"conv5","original",1,2000,2,54,1,94,129,"CF",1,"cin",214996.3334,16,"3",2.49509957499868,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"conv5","synth",3,2000,1,1,74,129,87,"CF",1,"cin",214996.3334,17,"3",2.50901609499851,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","CF"
"conv5","synth",1,2000,7,120,1,74,129,"CF",1,"cin",214996.3334,18,"3",2.51647335499911,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","CF"
"PS","synth",1,2000,3,43,1,63,129,"CF",1,"cin",214996.3334,19,"1",2.46055878499828,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","CF"
"powerspec","synth",3,2000,7,105,1,84,129,"CF",1,"cin",214996.3334,20,"3",2.56362416999946,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","CF"
"PS","original",3,2000,5,52,1,53,129,"CF",1,"cin",214996.3334,21,"3",2.50658537499839,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"powerspec","synth",1,2000,7,1,1,129,80,"CF",1,"cin",214996.3334,22,"2",2.38480866499776,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"PS","original",2,2000,2,11,1,1,129,"CF",1,"cin",214996.3334,23,"3",2.48779429999922,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","CF"
"PS","original",1,2000,10,1,127,129,105,"CF",1,"cin",214996.3334,24,"1",2.51475404499797,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","CF"
"conv5","synth",1,2000,4,1,114,129,14,"CF",1,"cin",214996.3334,25,"3",2.52936403999956,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
"powerspec","synth",3,2000,3,101,1,71,129,"CF",1,"cin",214996.3334,26,"3",2.45899394999833,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","CF"
"conv5","original",1,2000,7,115,1,55,129,"CF",1,"cin",214996.3334,27,"1",2.3697808099987,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","CF"
"conv5","synth",1,2000,3,82,1,6,129,"CF",1,"cin",214996.3334,28,"2",2.43613754500075,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","CF"
